id;name;energy,calculated (kJ);carbohydrate, available (g);fat, total (g);protein, total (g);alcohol (g);fibre, total (g);organic acids, total (g);sugar alcohols (g);starch, total (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);polysaccharides, non-cellulosic, water-soluble (g);fibre, water-insoluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
33198;Yoghurt, Flavoured, Fat-Free, Artificially Sweetened;175;6.3;0.1;3.5;0;0.2;0.2;0;<0.1;6.3;0.3;0;0.3;4.5;0;1.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;6;3;0;0;1.1;1.0;123.9;<0.1;16.8;186.1;11.9;46.4;118.2;83.5;2.5;0.4;47.6;4.5;0.8;0.1;0.05;0.17;0.03;0.4;2.3;1.2;15.4;0;<0.1;0.53
32067;Yoghurt, Flavoured, Fat-Free, Artificially Sweetened, 0.5 Ug Vitamin D;187;7.0;0.1;3.5;0;0.1;0.2;0;0.6;6.4;1.7;0;0.2;4.5;0;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;5;3;0;0;1.1;1.0;124.5;<0.1;16.8;174.2;11.9;45.7;116.4;83.7;2.5;0.4;47.6;4.8;0.8;0.1;0.05;0.17;0.03;0.4;3.1;0.9;10.5;0.5;<0.1;0.56
33226;Yoghurt, Flavoured, Fat-Free, Fibre And Vitamins, Low-Lactose;256;9.9;0.1;4.1;0;1.3;0.2;0;<0.1;9.9;0.3;1.7;1.9;0.9;0;5.2;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;4;1;0;0;1.2;0.6;100.0;<0.1;12.2;188.0;11.1;50.0;127.5;79.1;2.4;0.4;50.8;3.8;0.8;<0.1;0.05;0.16;0.03;0.3;1.4;160.0;9.1;1.0;2.4;0.29
30464;Yoghurt, Flavoured, Fat-Free, Lactose-Free;300;13.4;0.1;3.7;0;0.2;0.2;0;2.0;11.4;0.3;1.3;1.6;0;0;8.3;<0.1;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;6;4;0;0;1.1;1.0;124.7;<0.1;12.8;175.8;11.0;46.3;118.1;76.3;2.3;0.4;47.8;4.5;0.8;0.1;0.04;0.16;0.03;0.1;2.9;1.2;17.5;0;0.1;0.61
33142;Yoghurt, Flavoured, Fat-Free, Lactose-Free, 1 Ug Vitamin D;268;12.7;0.1;2.7;0;<0.1;0.2;0;0;12.7;0.2;2.1;2.1;0;0;8.2;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;5;2;0;0;0.9;0.6;105.2;<0.1;16.4;147.0;11.0;38.3;97.7;79.4;2.4;0.4;40.3;4.3;0.8;0.1;0.05;0.16;0.03;0.3;2.0;1.1;12.3;1.0;<0.1;0.39
32597;Yoghurt, Flavoured, Fat-Free, Lactose-Free, Artificially Sweetened, 1 Ug Vit. D;138;4.8;0.1;2.8;0;0.2;0.2;0;<0.1;4.8;0.4;1.4;1.8;0;0;1.2;<0.1;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;6;3;0;0;0.9;1.0;110.3;<0.1;13.8;170.0;11.9;40.8;104.0;83.4;2.5;0.4;42.3;4.6;0.8;0.1;0.05;0.17;0.03;0.4;2.3;1.4;17.5;1.0;<0.1;0.53
34645;Yoghurt, Flavoured, Fat-Free, Low-Lactose;268;11.4;0.1;3.9;0;0.1;0.2;0;0.3;11.0;0.2;1.9;2.1;0.5;<0.1;6.4;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;6;3;0;0;1.1;0.9;129.1;<0.1;13.4;181.0;11.7;47.9;122.0;79.9;2.4;0.4;49.5;4.3;0.8;0.1;0.06;0.16;0.03;0.3;2.1;0.8;12.4;0;<0.1;0.34
32145;Yoghurt, Flavoured, Fat-Free, Low-Lactose, 1 Ug Vitamin D;279;13.3;0.1;2.6;0;0.2;0.2;0;<0.1;13.2;4.4;1.9;2.2;0.4;0;4.3;<0.1;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;6;3;0;0;4.2;1.0;103.2;<0.1;13.2;165.1;11.2;38.5;98.0;77.9;2.4;0.4;39.5;4.2;0.8;0.1;0.05;0.16;0.03;0.2;2.2;1.1;13.7;1.0;<0.1;0.56
34679;Yoghurt, Flavoured, Fat-Free, Low-Lactose, 1 Ug Vitamin D;243;9.8;0.1;3.9;0;0.2;0.3;0;0.2;9.6;0.2;1.9;2.1;0.5;<0.1;5.0;<0.1;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;7;5;0;0;1.2;1.3;131.4;<0.1;13.4;180.6;11.6;48.5;123.7;80.6;2.4;0.4;50.2;5.3;0.8;0.1;0.05;0.16;0.03;0.3;2.5;0.8;11.8;0;<0.1;0.49
33197;Yoghurt, Flavoured, Fat-Free, Low-Lactose, Vit. D, Artificially Sweetened;171;6.1;0.1;3.5;0;0.1;0.2;0;<0.1;6.1;0.4;1.8;2.1;0.9;0;0.9;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;6;3;0;0;1.1;0.9;120.0;<0.1;12.6;185.4;11.9;46.4;118.2;83.4;2.5;0.4;47.6;4.5;0.8;0.1;0.05;0.17;0.03;0.4;2.2;1.2;14.9;0.5;<0.1;0.52
685;Yoghurt, Flavoured, Fat-Free, Partially Artifially Sweetened;202;6.7;0.1;4.3;0;0.8;0.5;0;<0.1;6.7;3.0;0;0.7;2.8;0;0.2;0.2;0.5;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;18;16;0;0;1.5;3.9;156.1;0.2;13.2;243.9;12.8;57.2;145.8;72.6;2.0;0.4;59.2;7.3;0.7;0.2;0.05;0.15;0.03;0.1;10.5;1.0;38.2;0;0.3;2.60
32596;Yoghurt, Flavoured, Fat-Free, Partially Artificially Sweetened, 1 Ug Vitamin D;184;6.5;0.1;3.8;0;0.2;0.2;0;0.4;6.1;1.3;2.0;2.1;0.5;0;0.2;<0.1;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;7;3;0;0;1.1;1.0;125.1;<0.1;13.8;175.7;11.9;45.7;116.4;83.9;2.5;0.4;47.6;4.5;0.8;0.1;0.05;0.17;0.03;0.4;2.6;1.1;12.3;1.0;<0.1;0.39
34644;Yoghurt, Flavoured, Luonto+, Fat-Free, 1 Ug Vitamin D, Ab, Lactose-Free;246;9.5;0.2;4.2;0;0.1;0.5;0;0.5;9.1;2.6;1.2;3.3;0;<0.1;2.0;<0.1;0.1;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;20;15;0;0;0.8;5.4;101.0;0.2;12.3;223.8;15.0;36.6;93.4;80.0;2.2;0.4;56.3;13.0;0.9;0.3;0.08;0.16;0.06;0.3;21.1;1.4;30.4;1.0;0.2;0.65
