id;name;energy,calculated (kJ);carbohydrate, available (g);fat, total (g);protein, total (g);alcohol (g);fibre, total (g);organic acids, total (g);sugar alcohols (g);starch, total (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);polysaccharides, non-cellulosic, water-soluble (g);fibre, water-insoluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
11005;4-Grain Flakes;1380;58.8;3.4;10.1;0;11.5;0;0;57.5;1.3;0.2;0;0.1;0;0.2;0.8;1.3;7.9;2.7;1.3;0.9;0.5;0;<0.1;1.2;1243;83;0;0;0;68.2;30.0;4.1;20.0;396.0;109.0;5.0;12.7;327.8;8.8;2.9;150.0;46.8;5.2;2.7;0.33;0.10;0.24;0;0;0.2;195.8;0;0.4;3.20
32570;4-Grain Flakes, Riihikosken Vehnämylly;1432;59.0;4.1;10.9;0;11.2;0;0;57.7;1.3;0.1;0;0.1;0;0.2;0.8;1.3;7.2;3.5;1.6;1.2;0.7;0;<0.1;1.5;1518;84;0;0;0;62.7;33.4;4.2;20.0;399.6;115.6;3.2;8.2;356.4;9.4;3.0;162.0;46.6;5.0;2.3;0.20;0.08;0.24;0;0;0.2;192.0;0;0.7;2.98
379;Almond;2517;6.6;51.2;24.1;0;12.5;N/A;0;0;6.6;0.5;N/A;0.3;0;0;5.8;0.3;6.9;49.0;12.2;32.7;4.1;0;0.3;11.9;11932;270;0;0;0;138.5;276.0;5.2;5.0;740.0;278.0;1.0;2.5;490.0;4.0;3.3;170.0;48.0;6.8;4.0;0.06;0.70;0.25;0;0.5;0.2;4.0;0;26.4;0.30
34844;Almond Drink, Sweetened, Alrpo;100;3.0;1.0;0.5;0;0.2;0;0;0;3.0;<0.1;0;<0.1;0;0;3.0;<0.1;0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.3;14.9;5.6;49.9;127.0;9.8;0.1;<0.1;3.4;1.0;0.1;<0.1;<0.01;0.21;<0.01;0.4;<0.1;<0.1;<0.1;0.8;1.8;<0.01
34738;Almond Drink, Unsweetened, Alrpo;50;0.1;1.0;0.5;0;0.2;0;0;0;0.1;<0.1;0;<0.1;0;0;0.1;<0.1;0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.2;14.9;5.6;49.9;127.1;9.8;0.1;<0.1;3.4;1.0;0.1;<0.1;<0.01;0.21;<0.01;0.4;<0.1;<0.1;<0.1;0.8;1.8;<0.01
829;Anchovy;1076;9.6;11.4;28.9;0;0;N/A;N/A;0;9.6;0;N/A;0;0;0;9.6;0;0;10.2;3.0;4.2;3.0;0;2.7;0.2;175;146;768;1498;66.7;0;90.0;2.1;45.0;190.0;13.0;4140.0;10548.7;100.0;68.0;1.8;324.0;16.0;7.6;2.2;0.18;0.20;0.02;11.0;0;14.9;0;5.7;1.0;1.35
28916;Apple, Average, With Skin;135;6.6;<0.1;0.1;0;1.5;0.4;0;<0.1;6.6;3.5;0;1.0;0;0;2.1;0.6;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;23;6;0;0;0;15.9;3.5;<0.1;0.9;90.5;3.7;0.8;2.0;7.8;<0.1;<0.1;3.9;2.5;0.2;<0.1;0.05;0.01;0.01;0;7.8;2.5;74.6;0;0.2;4.35
28941;Apple, Domestic, Average, With Skin;149;7.1;<0.1;0.2;0;2.0;0.5;0;0;7.1;3.8;0;0.9;0;0;2.4;0.8;1.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;33;9;0;0;0;18.3;4.3;<0.1;1.0;94.0;3.9;0.8;2.0;7.8;<0.1;<0.1;5.2;2.5;0.2;<0.1;0.05;0.01;0.01;0;12.0;1.2;61.6;0;0.2;5.00
11060;Apple, Domestic, Without Skin;170;8.3;0.1;0.2;0;1.8;0.5;0;0.1;8.2;4.4;0;1.0;0;0;2.8;0.7;1.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;38;10;0;0;0;18.3;5.0;0.1;1.1;108.0;4.5;0.9;2.3;9.0;<0.1;<0.1;6.0;2.9;0.2;0.1;0.06;0.01;0.02;0;8.0;1.4;70.8;0;0.2;2.00
401;Apple, Dried;1149;60.2;0.3;0.9;0;8.7;2.3;0;0;60.2;31.7;0;8.6;0;0;19.9;4.7;5.6;0.2;0.2;<0.1;<0.1;0;<0.1;0.1;127;32;0;0;0;86.5;38.0;1.1;0;750.0;32.0;6.1;15.5;54.0;0.2;0.2;12.0;0;0.8;0.6;0.18;0.16;0;0;3.9;1.0;196.9;0;0.5;23.62
28942;Apple, Imported, Average, With Skin;161;8.2;<0.1;0.2;0;1.5;0.4;0;<0.1;8.1;4.3;N/A;1.4;0;0;2.4;0.6;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;21;4;0;0;0;18.3;3.0;<0.1;1.0;100.0;3.5;0.8;2.0;7.8;<0.1;<0.1;2.6;2.5;0.1;<0.1;0.04;0.01;0.01;0;6.0;4.5;109.9;0;0.2;5.00
11061;Apple, Imported, Without Skin;187;9.4;0.1;0.2;0;1.8;0.4;N/A;0.1;9.3;4.9;N/A;1.6;0;0;2.8;0.7;1.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;5;0;0;0;18.3;4.0;<0.1;1.1;120.0;4.0;0.9;2.3;9.0;<0.1;<0.1;3.0;2.9;0.1;0.1;0.05;0.01;0.02;0;4.0;3.7;91.8;0;0.2;2.00
33269;Apple Chips;1354;68.0;0.8;1.0;0;15.1;2.3;0;0;67.3;31.1;0;8.4;0;0;19.5;4.6;5.5;0.2;0.2;<0.1;<0.1;0;<0.1;0.1;126;31;0;0;0;85.1;37.9;1.1;<0.1;738.2;31.6;0;0;53.3;0.2;0.2;11.9;0.2;0.8;0.6;0.18;0.16;<0.01;0;4.8;1.0;193.3;0;0.5;23.15
4002;Apple Crisp Delight, Apple, Oat Flakes;635;18.8;7.2;1.7;0;2.3;0.3;0;6.5;12.4;2.8;0;0.8;<0.1;<0.1;8.8;0.6;1.3;6.8;0.9;2.2;3.4;<0.1;0.1;0.8;741;121;0;0;7.6;26.0;9.2;0.6;3.3;117.6;18.6;43.4;110.6;59.4;1.4;0.4;26.4;5.9;0.6;0.2;0.05;0.02;0.04;0;6.1;64.7;95.5;0.3;0.6;6.73
31459;Apple Jam;717;41.6;<0.1;<0.1;0;0.6;0.2;0;<0.1;41.6;1.4;0;0.4;0;0;39.8;0.2;0.4;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;9;2;0;0;0;6.4;2.2;<0.1;2.3;37.0;1.5;0.6;1.4;3.2;0.2;<0.1;1.6;1.0;<0.1;<0.1;0.02;<0.01;<0.01;0;3.1;1.0;29.8;0;<0.1;1.74
433;Apple Juice, Unsweetened, Vitamin C;192;10.7;<0.1;0.2;0;0;0.4;0;0;10.7;6.1;0;3.1;0;0;1.5;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;23;6;0;0;0;6.0;9.0;0.1;1.0;110.0;5.0;3.6;9.2;6.0;<0.1;<0.1;3.9;4.0;0.2;<0.1;0.06;0.03;0.04;0;30.0;0;16.0;0;0;0.10
4001;Apple Kissel, Apple Soup, Dried Apples;257;14.2;<0.1;0.1;0;1.1;0.3;0;2.7;11.5;3.7;0;1.0;0;<0.1;6.8;0.6;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;15;4;0;0;0;10.1;7.7;0.2;1.2;89.3;4.0;1.7;4.4;9.0;0.1;<0.1;1.5;0.6;<0.1;<0.1;0.02;0.01;0;0;0.3;0.1;22.9;0;<0.1;2.75
4000;Apple Kissel, Apple Soup, Fresh Apples;133;7.2;<0.1;<0.1;0;0.7;0.2;0;1.5;5.7;1.5;0;0.4;0;<0.1;3.7;0.3;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;10;3;0;0;0;6.9;3.7;<0.1;1.1;40.6;1.8;1.0;2.7;4.9;<0.1;<0.1;1.8;1.4;<0.1;<0.1;0.02;<0.01;<0.01;0;3.4;1.1;32.5;0;<0.1;1.90
32052;Apple Pie, Basic Sweet Dough, Gluten-Free, Contains Wheat Starch And Milk;1006;44.4;5.0;3.1;0;1.5;0.2;0;27.2;17.3;1.7;<0.1;0.6;3.7;0;11.2;0.3;0.5;4.7;0.7;1.8;2.1;<0.1;0.2;0.5;491;188;0;3;14.6;20.9;98.3;0.2;19.7;177.4;11.2;169.0;430.7;84.7;2.5;0.5;44.6;24.1;1.0;0.3;0.06;0.20;0.04;0.2;1.4;24.2;61.3;0.6;0.6;3.93
1170;Apple Pie, Basic Sweet Dough, Low-Fat Milk;1006;42.5;4.4;6.0;0;2.1;0.2;0;31.1;11.3;1.2;0;0.3;0.7;0.4;8.8;0.6;1.5;4.0;0.6;1.2;2.0;<0.1;<0.1;0.5;538;76;0;3;16.3;30.8;28.2;0.5;11.6;129.0;16.0;83.3;212.4;76.4;5.8;0.5;71.1;21.5;1.6;0.6;0.08;0.08;0.04;0.1;2.6;42.3;58.6;0.4;0.5;3.48
32054;Apple Pie, Basic Sweet Dough, Naturally Gluten-Free, Contains Milk;936;38.5;5.2;3.1;0;4.2;0.2;0;24.6;13.3;1.8;<0.1;0.7;1.0;<0.1;9.6;1.7;2.2;5.0;0.9;1.9;2.1;<0.1;0.2;0.7;660;196;0;3;13.7;24.7;32.1;0.6;15.2;137.1;21.8;141.3;360.1;74.1;4.0;0.5;29.0;28.1;1.3;1.0;0.14;0.10;0.05;0.1;1.1;25.3;266.1;0.6;0.6;4.24
32333;Apple Pie, Basic Sweet Dough, Whole Milk;1022;42.7;4.7;6.0;0;2.1;0.2;0;31.3;11.4;1.2;0;0.4;0.7;0.4;8.8;0.6;1.5;4.2;0.7;1.2;2.2;<0.1;<0.1;0.6;544;77;0;3;17.0;31.0;28.9;0.5;11.7;131.1;16.1;84.2;214.5;76.8;5.8;0.5;71.5;21.8;1.6;0.6;0.08;0.08;0.04;0.1;2.6;44.4;59.8;0.4;0.5;3.56
1183;Apple Pie, Shortbread Crust;826;25.6;8.9;2.7;0;1.5;0.3;0;11.0;14.6;2.3;0;0.7;<0.1;0.1;11.4;0.5;1.1;8.3;1.0;2.6;4.4;0.1;0.2;0.7;728;150;0;6;31.4;29.6;10.4;0.3;5.3;93.1;7.8;62.0;158.1;37.5;3.6;0.2;35.2;7.5;0.7;0.2;0.05;0.04;0.03;0.1;5.2;96.4;115.1;0.5;0.8;7.05
31989;Apple Pie, Shortbread Crust, Gluten-Free, Contains Wheat Starch;947;33.2;9.0;1.9;0;1.7;0.3;0;14.1;19.1;3.4;<0.1;1.1;1.4;0;13.2;0.5;0.8;8.5;1.4;3.4;3.6;0.1;0.4;1.0;957;363;0;6;28.9;40.7;103.8;0.2;7.9;137.0;7.1;122.8;312.8;91.2;2.6;0.2;28.8;6.5;0.5;<0.1;0.05;0.09;0.02;0.2;2.1;44.8;122.8;0.8;1.1;7.51
32053;Apple Pie, Shortbread Crust, Naturally Gluten-Free;910;30.1;9.1;1.9;0;3.1;0.3;0;12.8;17.1;3.4;<0.1;1.2;<0.1;<0.1;12.4;1.2;1.6;8.6;1.5;3.4;3.6;0.1;0.4;1.1;1043;367;0;6;28.5;42.6;70.0;0.4;5.7;116.4;12.5;108.6;276.8;85.8;3.4;0.2;20.8;8.6;0.7;0.4;0.09;0.04;0.03;0.1;1.9;45.4;227.3;0.8;1.1;7.66
31694;Apple Pie, Shortbread Crust With Sour Milk;1320;47.4;11.5;4.1;0;2.1;0.2;0;22.1;25.1;1.5;<0.1;0.5;0.3;0.3;22.5;0.5;1.1;10.9;1.9;4.2;4.5;0.2;0.5;1.4;1362;480;0;0;9.5;57.4;23.2;0.3;6.5;104.6;11.6;203.3;517.9;51.2;3.5;0.3;46.6;6.1;1.0;0.3;0.05;0.04;0.03;<0.1;0.9;38.3;51.7;1.0;1.3;8.90
34705;Apple Pie, Soft, Low-Fat Milk;932;32.7;7.9;4.3;0;1.3;0.2;0;13.2;19.6;1.5;0;0.5;0.4;0.2;17.0;0.4;0.9;7.3;2.4;4.0;0.9;<0.1;0.6;1.8;1763;597;0;16;53.2;52.7;93.7;0.5;10.4;100.3;9.8;91.9;234.1;115.0;6.9;0.4;59.4;12.2;1.1;0.2;0.06;0.08;0.04;0.3;3.4;36.6;135.6;0.4;1.8;10.22
1185;Apple Pie With Quark Filling, Shortbread Crust;778;20.3;9.4;4.3;0;1.2;0.4;0;8.4;11.9;1.8;0;0.5;0.7;0.1;8.8;0.4;0.8;8.7;0.8;2.6;4.9;0.1;0.1;0.7;630;126;0;10;45.8;22.8;32.6;0.3;9.2;109.0;8.8;69.6;177.4;69.5;5.0;0.3;62.6;10.6;1.1;0.2;0.06;0.09;0.03;0.3;4.1;101.0;129.1;0.5;0.7;6.06
1531;Apple Rice Porridge, Water, Sugar;459;25.8;<0.1;0.6;0;0.7;0.1;0;7.0;18.8;1.7;0;0.5;0;0;16.6;0.3;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;17;2;0;0;0;8.3;5.0;0.2;1.2;53.1;4.9;1.7;4.3;13.2;1.5;0.1;8.7;1.3;0.2;0.2;0.02;<0.01;<0.01;0;0.1;<0.1;10.7;0;<0.1;1.30
33928;Applesauce, Sweetened;540;30.8;<0.1;0.1;0;1.1;0.3;0;<0.1;30.8;2.6;0;0.7;0;0;27.4;0.4;0.8;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;17;4;0;0;0;11.8;2.7;<0.1;1.9;67.5;2.8;0.6;1.6;5.8;0.2;<0.1;2.9;1.9;0.1;<0.1;0.04;<0.01;0.01;0;5.8;1.8;55.3;0;0.1;3.22
472;Applesauce, Unsweetened;188;9.5;0.1;0.2;0;1.8;0.4;0;0.1;9.4;6.4;0;2.1;0;0;0.9;0.6;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;23;6;0;0;0;18.3;3.5;<0.1;0.9;100.0;3.7;0.8;2.0;7.8;<0.1;<0.1;3.9;1.0;0.2;<0.1;0.05;0.01;0.01;0;9.0;2.5;74.6;0;0.2;3.00
11054;Apricot, Average, Without Stone;223;10.6;0.1;1.1;0;1.9;0.4;0;0;10.6;3.0;0;3.0;0;0;4.6;0.8;1.4;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;32;28;0;0;0;15.9;31.0;0.4;1.0;160.0;8.8;2.0;5.1;11.0;1.0;0.3;6.0;5.0;0.6;0.5;0.05;0.05;0.04;0;10.0;66.9;1037.0;0;1.0;3.30
28921;Apricot, Average, With Stone;209;10.0;<0.1;1.0;0;1.8;0.4;0;0;10.0;2.8;0;2.8;0;0;4.3;0.8;1.3;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;26;0;0;0;14.9;29.1;0.4;0.9;150.4;8.3;1.9;4.8;10.3;0.9;0.3;5.6;4.7;0.6;0.5;0.05;0.05;0.04;0;9.4;62.9;974.8;0;0.9;3.10
408;Apricot, Canned, In Syrup;307;16.0;0.1;1.0;0;1.3;0.3;0;0;16.0;0.7;0;1.3;0;0;14.0;0.6;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;25;7;0;0;0;9.5;31.0;0.4;1.0;160.0;8.8;7.2;18.4;11.0;0.2;0.3;3.6;2.0;0.4;0.3;0.06;0.02;0.02;0;4.0;52.0;698.8;0;0.6;3.00
409;Apricot, Dried;923;43.4;0.5;5.2;0;7.3;1.5;0;0;43.4;10.0;0;20.8;0;0;12.6;4.6;3.8;0.4;0.2;0.1;<0.1;0;<0.1;0.1;110;97;0;0;0;55.7;98.3;1.4;0;507.2;27.9;16.7;42.5;34.9;0.5;1.0;14.0;14.0;3.0;2.8;0.17;0.10;<0.01;0;1.0;234.2;3629.5;0;6.2;11.55
4008;Apricot Kissel, Apricot Soup;296;16.1;<0.1;0.6;0;0.9;0.2;0;2.8;13.4;1.1;0;2.3;0;<0.1;9.9;0.5;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;12;11;0;0;0;6.2;14.1;0.2;1.4;58.6;3.4;2.9;7.2;6.6;0.2;0.1;1.7;1.7;0.3;0.3;0.02;<0.01;<0.01;0;<0.1;26.0;403.3;0;0.7;1.28
31538;Apricot Puree, Unsweetened, With Added Vitamin C;242;11.8;0.1;1.0;0;1.8;0.4;0;1.7;10.1;2.9;0;2.9;0;0;4.4;0.8;1.3;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;26;0;0;0;15.2;29.7;0.4;0.9;152.1;8.4;1.9;5.0;10.7;1.0;0.3;5.7;3.3;0.5;0.5;0.05;0.04;0.03;0;30.0;57.2;985.1;0;0.9;3.13
1532;Apricot Rice Porridge, Water, Sugar;349;18.8;0.1;1.0;0;0.8;0.1;0;8.1;10.7;0.7;0;1.6;0;0;8.4;0.4;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;20;8;0;0;0;8.3;10.5;0.2;0.9;51.8;5.7;2.7;6.9;14.4;1.7;0.2;10.3;2.2;0.4;0.4;0.02;<0.01;<0.01;0;<0.1;17.4;270.0;0;0.5;0.88
11196;Aromatic Salt, 71% Salt Content;289;10.8;1.3;1.7;0;3.7;<0.1;0;6.9;3.9;0.6;<0.1;0.7;0;<0.1;2.6;0.2;0.3;1.1;0.2;0.2;0.6;0.1;0.1;<0.1;67;100;0;0;0.7;11.9;287.7;4.9;6.0;234.8;139.2;27900.0;71089.2;83.0;0.4;0.6;17.6;25.8;0.6;0.3;0.16;0.07;0.02;0;2.0;2.1;111.4;0;0.6;86.58
32456;Artichoke;191;5.1;0.1;3.3;0;5.4;N/A;N/A;4.1;1.0;0.4;N/A;N/A;0;0;0.1;N/A;N/A;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;46;17;0;0;0;N/A;44.0;1.3;N/A;370.0;60.0;94.0;239.5;90.0;0.2;0.5;N/A;68.0;1.0;1.0;0.12;0.07;0.07;0;11.7;0.7;28.9;0;0.2;14.80
33583;Artichoke, Boiled;225;6.0;0.2;3.9;0;6.4;N/A;N/A;4.8;1.2;0.5;N/A;N/A;0;0;0.1;N/A;N/A;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;54;20;0;0;0;N/A;51.8;1.5;N/A;435.3;70.6;110.6;281.8;105.9;0.2;0.6;N/A;56.0;1.0;1.2;0.14;0.06;0.06;0;8.9;0.7;34.0;0;0.2;17.41
32729;Asparagus, Boiled Without Salt;135;2.0;0.6;2.9;0;3.5;0.1;0;0.1;1.9;1.1;N/A;0.7;0;0;0.1;0.8;0.9;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;15.0;27.0;0.7;N/A;260.0;13.0;1.0;2.5;72.0;0.2;0.7;15.0;122.5;1.0;1.0;0.06;0.05;0.12;0;7.8;37.3;315.0;0;1.1;40.00
340;Asparagus, Canned;65;1.2;0.2;1.3;0;1.5;0.3;0;0;1.2;0.7;N/A;0.3;0;0;0.2;0.2;1.3;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;36;0;0;0;15.0;14.0;0.3;4.0;130.0;9.0;450.0;1146.6;30.0;0.4;0.4;21.0;96.0;1.3;1.0;0.17;0.17;0.16;0;33.0;0.3;28.9;0;<0.1;1.44
11689;Asparagus, Raw, Cleaned;135;2.0;0.6;2.9;0;3.5;0.1;0;0.1;1.9;1.1;N/A;0.7;0;0;0.1;0.8;0.9;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;15.0;27.0;0.7;N/A;260.0;13.0;1.0;2.5;72.0;0.2;0.7;15.0;175.0;1.2;1.0;0.06;0.06;0.16;0;12.0;41.4;315.0;0;1.1;40.00
3239;Asparagus Soup, Canned Asparagus;310;2.8;6.1;1.6;0;0.4;0.5;0;2.0;0.8;0.1;<0.1;<0.1;0.5;<0.1;<0.1;<0.1;0.3;5.6;0.9;2.2;2.3;<0.1;0.2;0.7;656;194;0;14;55.8;15.0;25.6;0.3;9.4;50.2;5.4;471.0;1200.1;43.5;4.5;0.4;20.5;21.6;0.5;0.2;0.05;0.06;0.04;0.3;3.7;58.7;103.1;0.4;0.7;3.29
34582;Asparagus Soup, White Wine, Cream;218;2.8;3.3;1.3;0.2;1.1;0.3;0;1.5;1.3;0.4;<0.1;0.3;0.2;<0.1;0.3;0.3;0.3;2.9;0.6;1.2;1.1;<0.1;0.1;0.4;404;139;0;0;3.1;14.6;19.4;0.3;4.9;97.7;6.5;277.0;705.9;30.8;0.5;0.3;9.5;36.6;0.4;0.3;0.03;0.03;0.04;<0.1;2.7;25.7;103.8;<0.1;0.7;12.80
3030;Asparagus With Melted Butter;194;2.0;2.2;2.9;0;3.4;0.1;0;<0.1;1.9;1.1;0;0.7;<0.1;0;<0.1;0.8;0.9;1.5;<0.1;0.4;1.1;<0.1;<0.1;<0.1;21;7;0;0;3.6;14.7;26.9;0.7;<0.1;255.2;12.8;12.8;32.7;71.2;0.2;0.7;14.8;120.1;1.0;1.0;0.06;0.05;0.12;0;7.6;49.2;317.8;<0.1;1.1;39.57
362;Aubergine;94;3.1;0.2;0.5;0;2.5;0.4;0;0.2;2.9;1.3;N/A;1.3;0;0;0.3;0.6;1.9;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;36;0;0;0;7.8;7.0;0.3;0;217.0;14.0;2.0;5.1;22.0;0.4;0;15.1;18.0;0.9;0.9;0.10;0.03;0.04;0;5.0;0.3;28.9;0;<0.1;6.00
3034;Aubergine, Fried;777;2.5;19.1;0.4;0;2.0;0.3;0;0.2;2.3;1.0;0;1.0;0;0;0.2;0.5;1.5;18.5;6.6;10.6;1.3;0;1.8;4.7;4714;1838;0;0;0.8;122.8;9.0;0.2;5.0;177.4;11.7;79.0;201.3;21.9;0.3;<0.1;12.1;10.1;0.6;0.7;0.08;0.02;0.02;0;2.4;0.2;23.4;0;4.2;30.03
34511;Aubergine Chick Pea Salad, Yoghurt Dressing;422;5.5;7.4;2.1;0;2.1;0.3;0;2.9;2.6;1.1;0;0.8;0.4;<0.1;0.3;0.5;1.2;7.1;2.5;3.9;0.7;<0.1;0.7;1.9;1855;679;0;0;1.2;59.2;29.9;0.7;10.1;220.9;17.1;136.1;346.8;54.0;1.4;0.3;26.4;38.4;0.9;0.6;0.09;0.05;0.05;<0.1;7.1;28.9;1590.2;<0.1;1.7;18.59
3801;Aubergine Filled With Mushrooms;151;3.1;1.2;1.8;0;2.5;0.3;0;0.2;2.9;1.3;<0.1;1.3;0;0;0.3;0.6;2.0;1.0;0.2;0.3;0.4;<0.1;<0.1;0.2;170;66;0;0;1.6;26.1;29.8;0.6;8.6;310.6;16.6;121.4;309.4;61.1;4.0;0.3;29.9;24.3;2.5;2.4;0.20;0.15;0.05;<0.1;21.1;29.4;1157.0;<0.1;0.5;8.82
29028;Aubergine Filled With Tomato And Cheese;367;3.7;5.6;4.5;0;1.8;0.4;0;0.1;3.5;1.3;<0.1;1.1;0.9;0;0.2;0.4;1.1;5.3;1.2;2.3;1.7;<0.1;0.3;0.9;860;337;0;0;7.0;26.5;22.0;0.3;10.5;212.7;12.6;216.4;551.5;50.3;3.5;<0.1;31.0;10.8;1.0;0.7;0.10;0.07;0.04;0.1;5.0;64.9;1332.7;<0.1;1.0;10.98
11057;Avocado, Without Skin And Stone;829;0.8;19.4;2.6;0;6.7;N/A;0;0.1;0.7;0.1;0.1;0.4;0;0;<0.1;1.6;2.0;16.9;1.6;12.6;2.7;0;0.1;1.4;1446;124;0;0;0;75.3;15.0;0.5;1.4;400.0;29.0;6.0;15.3;31.0;0.4;0;22.0;11.0;1.5;1.1;0.42;0.16;0.07;0;10.2;5.2;406.5;0;2.1;20.00
33091;Avocado Oil;3700;0;100.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.6;13.5;70.6;11.6;0;1.0;12.5;12530;957;0;0;0;N/A;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.0;N/A
34502;Avocado Pasta;681;11.1;10.8;4.4;0;2.1;0.1;0;10.8;0.3;<0.1;<0.1;0.1;0;0;<0.1;0.5;0.8;9.8;1.0;6.1;2.7;<0.1;<0.1;0.9;869;67;0;0;5.6;32.8;76.1;1.0;18.9;142.0;14.3;254.9;649.6;64.8;2.8;0.5;55.9;11.0;1.3;0.4;0.12;0.07;0.03;0.1;6.8;29.1;431.2;<0.1;1.1;13.64
34524;Avocado Quesadilla;782;18.3;9.2;6.1;0;2.5;0.4;0;16.7;1.6;0.6;<0.1;0.5;<0.1;0.2;0.2;0.6;1.0;8.4;1.4;4.3;2.6;<0.1;0.3;1.1;1067;275;0;0;7.2;41.7;147.8;0.5;18.6;197.7;18.5;298.3;760.1;127.6;4.9;0.7;79.0;10.2;1.8;0.6;0.14;0.09;0.04;0.2;4.7;52.4;1313.0;0.2;1.3;13.47
34362;Avocado Sauce;894;0.7;20.9;4.2;0;4.2;0.2;0;0.2;0.5;0.1;<0.1;0.3;0;0;<0.1;1.0;1.2;18.9;1.8;12.9;4.2;<0.1;0.1;1.6;1606;129;0;0;7.1;58.8;102.6;0.5;15.0;275.9;22.0;232.7;592.9;71.5;2.1;0.4;51.5;13.6;1.6;0.7;0.27;0.14;0.05;0.2;12.2;39.8;738.9;<0.1;2.2;26.43
3328;Avocado Sauce, Guacamole;666;1.5;15.0;2.2;0;5.4;0.3;0;0.2;1.3;0.5;<0.1;0.6;0;0;0.2;1.3;1.6;13.1;1.4;9.7;2.1;0;0.1;1.2;1218;144;0;0;0.2;62.0;16.2;0.5;11.3;354.4;24.2;160.0;407.6;30.9;0.4;<0.1;19.4;8.9;1.0;0.9;0.35;0.10;0.05;0;11.5;14.9;964.0;0;1.8;16.37
33208;Avocado Sauce, Guacamole, Industrial;374;6.8;5.9;1.4;0;1.7;0.1;0;2.6;3.7;0.5;<0.1;1.1;0.8;0.1;1.1;0.4;0.7;5.4;1.2;3.2;0.9;0;0.2;1.0;1019;221;0;0;0.4;29.1;22.2;0.4;1.3;190.3;14.0;593.8;1512.9;37.4;0.4;0.2;16.5;9.3;0.7;0.5;0.17;0.05;0.04;<0.1;11.3;17.9;1025.2;0;1.2;8.84
28933;Avocado  With Skin And Stone;589;0.5;13.8;1.9;0;4.8;N/A;0;<0.1;0.5;<0.1;<0.1;0.3;0;0;<0.1;1.1;1.4;12.0;1.1;9.0;1.9;0;<0.1;1.0;1026;88;0;0;0;53.5;10.7;0.4;1.0;284.0;20.6;4.3;10.9;22.0;0.3;0;15.6;7.8;1.0;0.8;0.30;0.11;0.05;0;7.2;3.7;288.6;0;1.5;14.20
